task_label,comparison,comparison_label,metric,metric_label,model_a,model_b,model_a_value,model_b_value,benefit_point,benefit_ci_low,benefit_ci_high,fraction_bootstrap_model_a_better,n_paired_patients,n_paired_examples,n_paired_positive,conclusion
ICU transfer,Full16384,"Full compression vs raw, context 16384",top_10pct_precision,Top-10% precision,condition_era_90_backfill_16384,raw_16384,0.1764705882352941,0.1813725490196078,-0.0049019607843137,-0.0351758793969849,0.0288461538461538,0.3692,1154,2037,85,difference_not_established
ICU transfer,ICUGap30vs90,Era gap 30 vs 90,auroc,AUROC,condition_era_30_backfill_4096,condition_era_90_backfill_4096,0.755026518804243,0.8013018322082931,-0.0462753134040501,-0.0741778154347718,-0.0176523405780932,0.0009,1154,2037,85,model_a_worse
ICU transfer,ICUGap30vs90,Era gap 30 vs 90,auprc,AUPRC,condition_era_30_backfill_4096,condition_era_90_backfill_4096,0.1600868122996523,0.2241242849403359,-0.0640374726406836,-0.1064201430635459,-0.0286502082000599,0.0001,1154,2037,85,model_a_worse
ICU transfer,ICUGap30vs90,Era gap 30 vs 90,brier,Brier score,condition_era_30_backfill_4096,condition_era_90_backfill_4096,0.0376485722042778,0.0361847770265656,-0.0014637951777121,-0.0024044359675663,-0.0005555425959985,0.0008,1154,2037,85,model_a_worse
ICU transfer,ICUGap30vs90,Era gap 30 vs 90,logloss,LogLoss,condition_era_30_backfill_4096,condition_era_90_backfill_4096,0.155652285106613,0.1474535706735491,-0.0081987144330639,-0.0120043559727064,-0.0045561377294701,0.0,1154,2037,85,model_a_worse
ICU transfer,ICUGap30vs90,Era gap 30 vs 90,top_10pct_precision,Top-10% precision,condition_era_30_backfill_4096,condition_era_90_backfill_4096,0.1568627450980392,0.1813725490196078,-0.0245098039215686,-0.0610328638497652,0.0046296296296296,0.0259,1154,2037,85,difference_not_established
ICU transfer,ICUGap180vs90,Era gap 180 vs 90,auroc,AUROC,condition_era_180_backfill_4096,condition_era_90_backfill_4096,0.7756991321118613,0.8013018322082931,-0.0256027000964318,-0.0495658144730837,-0.0013586378830806,0.0195,1154,2037,85,model_a_worse
ICU transfer,ICUGap180vs90,Era gap 180 vs 90,auprc,AUPRC,condition_era_180_backfill_4096,condition_era_90_backfill_4096,0.2362270283056192,0.2241242849403359,0.0121027433652832,-0.0387151198292577,0.0517834891306724,0.6236,1154,2037,85,difference_not_established
ICU transfer,ICUGap180vs90,Era gap 180 vs 90,brier,Brier score,condition_era_180_backfill_4096,condition_era_90_backfill_4096,0.0363389712347075,0.0361847770265656,-0.0001541942081418,-0.0010692965372048,0.0007284164514594,0.3734,1154,2037,85,difference_not_established
ICU transfer,ICUGap180vs90,Era gap 180 vs 90,logloss,LogLoss,condition_era_180_backfill_4096,condition_era_90_backfill_4096,0.1499465581031469,0.1474535706735491,-0.0024929874295977,-0.006054057187406,0.0009980079465368,0.0822,1154,2037,85,difference_not_established
ICU transfer,ICUGap180vs90,Era gap 180 vs 90,top_10pct_precision,Top-10% precision,condition_era_180_backfill_4096,condition_era_90_backfill_4096,0.196078431372549,0.1813725490196078,0.0147058823529411,-0.0104712041884816,0.0439024390243902,0.8159,1154,2037,85,difference_not_established
